orange -> [[54, 0, 0], [66, 22, 66], [81, -77, 66]] -> 1 (label=1)
blue -> [[46, 50, 28], [84, -50, -4], [50, 22, -17]] -> 1 (label=1)
pink -> [[49, 72, 14], [52, 6, 3], [39, 28, -50]] -> 0 (label=0)
pink -> [[47, 52, 0], [49, 4, -29], [86, -83, 75]] -> 0 (label=0)
green -> [[88, -39, 84], [76, -60, 29], [62, -18, -26]] -> 1 (label=1)
blue -> [[66, -18, -36], [73, -14, 56], [56, -13, 11]] -> 0 (label=0)
purple -> [[53, 1, -2], [47, 38, 21], [43, 50, -50]] -> 2 (label=2)
blue -> [[39, 33, -67], [75, -67, 51], [54, 87, -55]] -> 0 (label=0)
mauve -> [[54, -3, -2], [46, 44, 17], [89, -54, -2]] -> 1 (label=1)
gray -> [[61, -22, 0], [88, -46, -14], [50, 25, -10]] -> 0 (label=0)
pink -> [[56, 20, 37], [63, -27, -1], [50, 74, -18]] -> 2 (label=2)
red -> [[50, 75, 18], [58, 5, -58], [48, 31, -1]] -> 0 (label=0)
brown -> [[62, -8, 27], [53, 82, -12], [31, 71, -99]] -> 0 (label=0)
green -> [[52, 1, -4], [73, -47, 61], [61, -19, -15]] -> 1 (label=1)
purple -> [[40, 40, -79], [52, -3, -19], [46, 26, -29]] -> 2 (label=2)
blue -> [[82, -79, 77], [46, 9, -37], [59, -23, 6]] -> 1 (label=1)
gray -> [[54, -1, 1], [68, -37, 2], [50, 75, 27]] -> 0 (label=0)
yellow -> [[68, 19, 67], [87, -86, 83], [95, -24, 92]] -> 2 (label=2)
blue -> [[35, 52, -74], [76, -61, 30], [44, 17, -34]] -> 0 (label=0)
blue -> [[79, -27, 71], [58, -24, 17], [63, -7, -48]] -> 2 (label=2)
purple -> [[50, 65, -40], [83, -71, 78], [53, 80, 28]] -> 0 (label=0)
pink -> [[50, 18, -7], [60, -12, -36], [88, -19, 84]] -> 0 (label=0)
pink -> [[38, 32, -59], [50, 29, -19], [47, 53, -7]] -> 2 (label=2)
blue -> [[48, 25, 2], [64, -42, 25], [55, -9, -11]] -> 2 (label=2)
purple -> [[46, 86, -82], [69, -59, 50], [68, -30, -9]] -> 0 (label=0)
tan -> [[58, -2, 18], [46, 36, -34], [54, -1, 1]] -> 0 (label=0)
purple -> [[61, -30, 11], [46, 15, -27], [49, 48, -28]] -> 2 (label=1)
yellow -> [[66, -16, 40], [54, -2, 1], [65, -28, -5]] -> 0 (label=0)
blue -> [[49, 57, -34], [38, 40, -60], [46, 40, -37]] -> 1 (label=1)
gray -> [[82, -25, 75], [49, 17, 3], [50, 10, -12]] -> 2 (label=2)
blue -> [[62, -21, -6], [58, -6, 15], [53, 91, -70]] -> 0 (label=0)
blue -> [[77, -10, 70], [38, 33, -56], [42, 63, -61]] -> 1 (label=1)
purple -> [[81, -22, 73], [37, 35, -60], [64, 6, 48]] -> 1 (label=1)
purple -> [[45, 28, -34], [48, 30, 0], [59, -25, 22]] -> 0 (label=0)
neon -> [[59, -12, -32], [55, 89, -45], [83, -56, 7]] -> 1 (label=1)
blue -> [[63, -20, -24], [54, 85, -37], [49, 8, -15]] -> 0 (label=0)
yellow -> [[80, -14, 73], [67, -32, 44], [63, -9, 31]] -> 0 (label=0)
purple -> [[78, -34, -24], [52, 89, -69], [59, 23, 49]] -> 1 (label=1)
brown -> [[75, -65, 44], [60, -1, 27], [47, 43, 0]] -> 1 (label=1)
yellow -> [[88, -80, 58], [84, -71, 39], [87, -41, 83]] -> 2 (label=2)
yellow -> [[87, -13, 84], [69, -24, 48], [81, -18, 73]] -> 0 (label=0)
teal -> [[72, -42, 1], [31, 67, -96], [50, 23, -18]] -> 2 (label=0)
